date,temp_max,temp_min,precipitation_sum,destination
2026-04-13,24.7825,10.0825,0.0,Andalucía
2026-04-14,26.9825,12.882501,0.0,Andalucía
2026-04-15,29.4825,14.5325,0.0,Andalucía
2026-04-16,30.4825,15.3325,0.0,Andalucía
2026-04-17,30.7325,14.4325,0.0,Andalucía
2026-04-18,30.2015,14.632501,0.0,Andalucía
2026-04-19,29.7015,13.3515,0.0,Andalucía
2026-04-20,28.3015,16.5515,0.0,Andalucía
2026-04-21,26.8515,13.8515,0.0,Andalucía
2026-04-22,27.5515,11.2515,0.0,Andalucía
2026-04-23,28.8515,13.9015,0.0,Andalucía
2026-04-24,26.3515,15.4015,0.9000001,Andalucía
2026-04-25,19.6515,11.5515,0.0,Andalucía
2026-04-26,18.2515,12.8015,3.8999999,Andalucía
2026-04-13,20.535,15.385,0.6,Rome
2026-04-14,20.785,14.885,0.9000001,Rome
2026-04-15,24.435,13.335,0.3,Rome
2026-04-16,26.385,13.985001,0.1,Rome
2026-04-17,25.585,15.935,0.0,Rome
2026-04-18,23.930124,13.585,0.0,Rome
2026-04-19,21.228498,13.778501,0.0,Rome
2026-04-20,20.0285,13.3285,0.0,Rome
2026-04-21,21.906,11.706,0.0,Rome
2026-04-22,20.706,11.206,0.0,Rome
2026-04-23,22.006,11.0060005,0.0,Rome
2026-04-24,20.706,13.0060005,0.0,Rome
2026-04-25,22.806,12.806,0.0,Rome
2026-04-26,26.906,15.606,0.0,Rome
2026-04-13,20.598,6.998,0.0,Madrid
2026-04-14,23.098,8.048,0.0,Madrid
2026-04-15,24.448,10.498,0.0,Madrid
2026-04-16,25.548,11.148,0.0,Madrid
2026-04-17,26.698,12.948,0.0,Madrid
2026-04-18,26.0415,14.398,0.0,Madrid
2026-04-19,26.241499,11.5415,0.0,Madrid
2026-04-20,25.3415,13.841499,0.3,Madrid
2026-04-21,24.959,15.609,0.0,Madrid
2026-04-22,25.659,14.659,0.0,Madrid
2026-04-23,26.759,16.359001,0.0,Madrid
2026-04-24,25.059,15.359,0.6,Madrid
2026-04-25,17.009,12.359,3.9000006,Madrid
2026-04-26,14.859,10.559,0.0,Madrid
2026-04-13,16.958,8.808001,0.3,Islas Baleares
2026-04-14,21.858,7.058,0.0,Islas Baleares
2026-04-15,23.458,9.158,0.0,Islas Baleares
2026-04-16,24.258,9.608,0.0,Islas Baleares
2026-04-17,24.508,9.808001,0.0,Islas Baleares
2026-04-18,24.2735,11.108,0.0,Islas Baleares
2026-04-19,24.5235,13.9735,0.0,Islas Baleares
2026-04-20,24.9235,13.2235,0.0,Islas Baleares
2026-04-21,25.7815,13.6815,0.0,Islas Baleares
2026-04-22,26.3315,13.6815,0.0,Islas Baleares
2026-04-23,25.9315,14.2815,0.0,Islas Baleares
2026-04-24,26.0815,15.6815,0.0,Islas Baleares
2026-04-25,24.0815,13.3815,0.0,Islas Baleares
2026-04-26,19.0815,12.4315,1.8,Islas Baleares
2026-04-13,24.9705,14.8705,0.1,Albania
2026-04-14,19.2705,14.9705,5.2999997,Albania
2026-04-15,24.820501,13.8705,0.0,Albania
2026-04-16,25.4205,15.7205,0.3,Albania
2026-04-17,24.2705,14.570499,0.0,Albania
2026-04-18,23.5575,12.6205,0.0,Albania
2026-04-19,18.3575,11.1575,0.3,Albania
2026-04-20,18.2075,13.3575,15.300003,Albania
2026-04-21,14.719999,9.3075,4.649999,Albania
2026-04-22,16.4075,8.6075,0.0,Albania
2026-04-23,17.1075,8.6075,0.3,Albania
2026-04-24,17.2575,7.7575,1.2,Albania
2026-04-25,20.2075,13.307501,2.1,Albania
2026-04-26,25.7075,13.807501,0.0,Albania
2026-04-13,8.276,5.726,10.100002,Nord Jylland
2026-04-14,10.326,4.926,0.0,Nord Jylland
2026-04-15,7.876,3.426,4.3,Nord Jylland
2026-04-16,14.45,5.25,0.0,Nord Jylland
2026-04-17,12.85,5.2,3.8999996,Nord Jylland
2026-04-18,12.2,6.8,1.2,Nord Jylland
2026-04-19,11.75,5.35,3.0000002,Nord Jylland
2026-04-20,11.85,5.5,0.0,Nord Jylland
2026-04-21,13.15,2.65,0.0,Nord Jylland
2026-04-22,11.0,4.25,0.90000004,Nord Jylland
2026-04-23,6.5,3.35,15.900001,Nord Jylland
2026-04-24,10.3,1.15,6.6000004,Nord Jylland
2026-04-25,10.4,4.25,11.400002,Nord Jylland
2026-04-26,8.45,4.2,6.899999,Nord Jylland
2026-04-13,11.422,4.472,9.400001,Region Syd
2026-04-14,11.272,4.6219997,0.0,Region Syd
2026-04-15,13.622,6.422,0.1,Region Syd
2026-04-16,14.95,5.5,0.0,Region Syd
2026-04-17,15.55,6.35,1.2,Region Syd
2026-04-18,12.95,6.35,2.9999995,Region Syd
2026-04-19,11.95,3.75,0.6,Region Syd
2026-04-20,12.5,2.75,0.0,Region Syd
2026-04-21,13.7,1.8,0.0,Region Syd
2026-04-22,12.45,1.45,2.7,Region Syd
2026-04-23,7.05,3.8,8.099999,Region Syd
2026-04-24,10.7,2.7,10.8,Region Syd
2026-04-25,10.8,5.55,7.799999,Region Syd
2026-04-26,11.5,5.2,9.600001,Region Syd
