region,country,biggest city of region,tourist_destination_1,tourist_destination_2,tourist_destination_3
Croatia,Croatia,Zagreb,Dubrovnik Old Town,Plitvice Lakes National Park,Diocletian's Palace
Pannonian Croatia,Croatia,Osijek,Tvrđa Fortress Osijek,Slavonia Wine Regions,Kopački rit
Bjelovar-Bilogora County,Croatia,Bjelovar,Bjelovar City Museum,Daruvar Thermal Spa,Bilogora
Virovitica-Podravina County,Croatia,Virovitica,Pejačević Castle Virovitica,Papuk Nature Park,Ružica Grad
Požega-Slavonia County,Croatia,Požega,Požega Cathedral,Papuk UNESCO Global Geopark,Kutjevo
Slavonski Brod-Posavina County,Croatia,Slavonski Brod,Brod Fortress,Eco-Ethno Village Stara Kapela,Muzej Brodskog Posavlja
Osijek-Baranja County,Croatia,Osijek,Kopački rit,Tvrđa Fortress Osijek,Baranja
Vukovar-Srijem County,Croatia,Vinkovci,Vukovar Memorial Site,Ilok Wine Cellars,Vučedol Culture Museum
Karlovac County,Croatia,Karlovac,Dubovac Castle,Aquatika Freshwater Aquarium,Mrežnica
Sisak-Moslavina County,Croatia,Sisak,Sisak Old Town Fortress,Lonjsko Polje Nature Park,Čigoč
Adriatic Croatia,Croatia,Split,Dubrovnik Old Town,Diocletian's Palace,Hvar
Primorje-Gorski Kotar County,Croatia,Rijeka,Trsat Castle,Krk Island,Opatija
Lika-Senj County,Croatia,Gospić,Plitvice Lakes National Park,Velebit Nature Park,Nehaj Fortress
Zadar County,Croatia,Zadar,Sea Organ Zadar,Roman Forum Zadar,Kornati National Park
Šibenik-Knin County,Croatia,Šibenik,St. James Cathedral Šibenik,Krka National Park,Knin Fortress
Split-Dalmatia County,Croatia,Split,Diocletian's Palace,Hvar,Makarska
Istria County,Croatia,Pula,Pula Arena (Amphitheatre),Rovinj Old Town,Motovun
Dubrovnik-Neretva County,Croatia,Dubrovnik,Dubrovnik Old Town Walls,Mljet Island National Park,Korčula
City of Zagreb,Croatia,Zagreb,Zagreb Cathedral,Dolac Market,Museum of Broken Relationships
Northern Croatia,Croatia,Varaždin,Varaždin Old Town,Trakošćan Castle,Krapina Neanderthal Museum
Međimurje County,Croatia,Čakovec,Čakovec Castle,Štrigova Wine Road,Sveti Martin na Muri
Varaždin County,Croatia,Varaždin,Varaždin Old Town,Trakošćan Castle,Varaždinske Toplice
Koprivnica-Križevci County,Croatia,Koprivnica,Hlebine Naive Art Gallery,Đurđevac Old Town,Kalnik
Krapina-Zagorje County,Croatia,Krapina,Krapina Neanderthal Museum,Veliki Tabor Castle,Tuhelj
Zagreb County,Croatia,Velika Gorica,Samobor Old Town,Žumberak Nature Park,Plešivica
