geo,date,tourist_nights
IT,2015-01,12197004.0
IT,2015-02,12911673.0
IT,2015-03,14445864.0
IT,2015-04,16958389.0
IT,2015-05,21760093.0
IT,2015-06,28917569.0
IT,2015-07,40829814.0
IT,2015-08,46371315.0
IT,2015-09,29137687.0
IT,2015-10,18105231.0
IT,2015-11,9950962.0
IT,2015-12,11424353.0
IT,2016-01,12531285.0
IT,2016-02,13663106.0
IT,2016-03,16585556.0
IT,2016-04,16092528.0
IT,2016-05,20905200.0
IT,2016-06,29284258.0
IT,2016-07,42248644.0
IT,2016-08,46453178.0
IT,2016-09,29399900.0
IT,2016-10,18423649.0
IT,2016-11,10171571.0
IT,2016-12,11916338.0
IT,2017-01,12975556.0
IT,2017-02,13452422.0
IT,2017-03,15264858.0
IT,2017-04,19476967.0
IT,2017-05,20459171.0
IT,2017-06,31946344.0
IT,2017-07,42823775.0
IT,2017-08,46610828.0
IT,2017-09,29699317.0
IT,2017-10,18728021.0
IT,2017-11,10775170.0
IT,2017-12,12921118.0
IT,2018-01,13503754.0
IT,2018-02,14237004.0
IT,2018-03,16876289.0
IT,2018-04,18764262.0
IT,2018-05,22224500.0
IT,2018-06,31703577.0
IT,2018-07,42695211.0
IT,2018-08,46465579.0
IT,2018-09,30143581.0
IT,2018-10,18639869.0
IT,2018-11,11225342.0
IT,2018-12,12991268.0
IT,2019-01,13390394.0
IT,2019-02,14005378.0
IT,2019-03,16425419.0
IT,2019-04,19584404.0
IT,2019-05,21143158.0
IT,2019-06,32925705.0
IT,2019-07,42507291.0
IT,2019-08,46607570.0
IT,2019-09,30188724.0
IT,2019-10,19455009.0
IT,2019-11,11515298.0
IT,2019-12,13189547.0
IT,2020-01,13796583.0
IT,2020-02,13589306.0
IT,2020-03,2452110.0
IT,2020-04,596806.0
IT,2020-05,1193953.0
IT,2020-06,6003974.0
IT,2020-07,21539282.0
IT,2020-08,34229412.0
IT,2020-09,17695562.0
IT,2020-10,7532562.0
IT,2020-11,2397839.0
IT,2020-12,2238755.0
IT,2021-01,2272701.0
IT,2021-02,2995045.0
IT,2021-03,2800202.0
IT,2021-04,2801904.0
IT,2021-05,6440913.0
IT,2021-06,17244221.0
IT,2021-07,33847304.0
IT,2021-08,42654445.0
IT,2021-09,24713129.0
IT,2021-10,15284643.0
IT,2021-11,8498298.0
IT,2021-12,9983423.0
IT,2022-01,8805883.0
IT,2022-02,10003137.0
IT,2022-03,11909689.0
IT,2022-04,16054876.0
IT,2022-05,18717247.0
IT,2022-06,30679914.0
IT,2022-07,40982328.0
IT,2022-08,44779547.0
IT,2022-09,28756824.0
IT,2022-10,18842950.0
IT,2022-11,10460334.0
IT,2022-12,12671111.0
IT,2023-01,13753838.0
IT,2023-02,13990049.0
IT,2023-03,15195565.0
IT,2023-04,19311339.0
IT,2023-05,21175322.0
IT,2023-06,31560107.0
IT,2023-07,41427106.0
IT,2023-08,44115359.0
IT,2023-09,30339280.0
IT,2023-10,19542279.0
IT,2023-11,11352967.0
IT,2023-12,13597785.0
IT,2024-01,14200247.0
IT,2024-02,15126292.0
IT,2024-03,17185988.0
IT,2024-04,18102033.0
IT,2024-05,23501118.0
IT,2024-06,31724044.0
IT,2024-07,42000807.0
IT,2024-08,44661250.0
IT,2024-09,30506839.0
IT,2024-10,20684419.0
IT,2024-11,12334048.0
IT,2024-12,13883632.0
IT,2025-01,14273335.0
IT,2025-02,14389106.0
IT,2025-03,15831512.0
IT,2025-04,18586432.0
IT,2025-05,24221063.0
IT,2025-06,33664454.0
IT,2025-07,43435654.0
IT,2025-08,45304921.0
IT,2025-09,30869569.0
IT,2025-10,21157169.0
IT,2025-11,11907011.0
IT,2025-12,14381575.0
IT,2026-01,14192905.0
